Primary Key,Area,Estimate Basis
Hanson2016_116,288,Inhabited area
Hanson2016_117,190,Inhabited area
Hanson2016_118,140,Inhabited area
Hanson2016_123,79,Inhabited area
Hanson2016_126,150,Inhabited area
Hanson2016_127,90,Inhabited area
Hanson2016_128,150,"Inhabited area, 1,500 by 1,000 m"
Hanson2016_129,57,Inhabited area
Hanson2016_131,155,"Inhabited area, 150 or 160"
Hanson2016_133,40,Inhabited area
Hanson2016_136,75,Inhabited area
Hanson2016_139,225,Unspecified
Hanson2016_141,40,Inhabited area
Hanson2016_144,170,"Inhabited area, 160 or 180 ha."
Hanson2016_151,177,Inhabited area
Hanson2016_152,57,Unspecified
Hanson2016_155,85,"Inhabited area, 80 or 90"
Hanson2016_159,35,Unspecified
Hanson2016_166,48,Unspecified
Hanson2016_170,28,Unspecified
Hanson2016_172,343,Inhabited area
Hanson2016_174,31,Inhabited area
Hanson2016_177,50,Inhabited area
Hanson2016_178,156,Walls
Hanson2016_180,466,Ramparts
Hanson2016_181,52,Inhabited area
Hanson2016_187,43,Inhabited area
Hanson2016_190,80,Unspecified
Hanson2016_191,52,Walls
Hanson2016_194,35,Inhabited area
Hanson2016_195,16,Inhabited area
Hanson2016_198,46,"Urban grid, topography, and necropoleis"
Hanson2016_201,44,Walls
Hanson2016_202,180,Inhabited area
Hanson2016_203,40,Unspecified
Hanson2016_205,80,Unspecified
Hanson2016_207,25,Inhabited area
Hanson2016_210,25,Inhabited area
Hanson2016_211,175,"Inhabited area, 150 to 200 ha."
Hanson2016_215,53,Inhabited area
Hanson2016_216,120,Walls
Hanson2016_217,88,Inhabited area
Hanson2016_218,34,Unspecified
Hanson2016_223,54,Urban grid and walls
Hanson2016_224,7,Walls
Hanson2016_225,41,Urban grid and walls
Hanson2016_226,22,Urban grid
Hanson2016_227,18,"Inhabited area, 15 to 20 ha."
Hanson2016_228,22,Urban grid
Hanson2016_229,75,"Inhabited area, 1,500 by 500 m"
Hanson2016_231,61,Urban grid and walls
Hanson2016_233,125,Inhabited area
Hanson2016_235,35,Unspecified
Hanson2016_236,27,Walls
Hanson2016_237,84,Walls
Hanson2016_238,9,Inhabited area
Hanson2016_240,60,Walls
Hanson2016_241,81,Walls
Hanson2016_245,3,Walls
Hanson2016_248,69,Walls
Hanson2016_249,287,Walls
Hanson2016_250,14,Walls
Hanson2016_251,60,Walls
Hanson2016_253,13,Walls
Hanson2016_254,84,Urban grid and walls
Hanson2016_255,73,Walls
Hanson2016_257,48,Walls
Hanson2016_259,20,Walls
Hanson2016_262,31,Walls
Hanson2016_263,14,Walls and topography
Hanson2016_264,72,Unspecified
Hanson2016_266,117,Walls
Hanson2016_267,58,"Urban grid, walls, and topography"
Hanson2016_268,31,Walls
Hanson2016_270,112,Walls
Hanson2016_271,8,Walls
Hanson2016_273,90,Inhabited area
Hanson2016_275,39,Walls
Hanson2016_276,263,Inhabited area
Hanson2016_277,136,Walls
Hanson2016_280,174,Walls
Hanson2016_282,28,Urban grid
Hanson2016_284,77,Inhabited area
Hanson2016_287,34,Walls
Hanson2016_288,25,Urban grid
Hanson2016_290,104,"Urban grid, walls, and topography"
Hanson2016_291,20,Walls
Hanson2016_294,84,Walls
Hanson2016_297,8,Inhabited area
Hanson2016_298,97,Urban grid and walls (Classical)
Hanson2016_300,78,Walls
Hanson2016_301,60,Walls
Hanson2016_302,109,Walls
Hanson2016_303,44,Walls
Hanson2016_305,220,Urban grid
Hanson2016_308,50,Walls
Hanson2016_309,412,Urban grid
Hanson2016_311,140,Walls
Hanson2016_312,150,Walls and topography
Hanson2016_315,194,Walls
Hanson2016_316,35,Walls
Hanson2016_318,78,Walls
Hanson2016_319,27,Walls
Hanson2016_323,35,Inhabited area
Hanson2016_326,77,Urban grid and walls
Hanson2016_329,11,Walls
Hanson2016_333,47,Inhabited area
Hanson2016_334,24,Walls
Hanson2016_336,99,Urban grid and inhabited area
Hanson2016_337,81,Inhabited area
Hanson2016_338,42,Inhabited area
Hanson2016_339,45,Walls
Hanson2016_340,7,Walls
Hanson2016_343,8,Urban grid
Hanson2016_347,49,Walls
Hanson2016_350,7,Inhabited area
Hanson2016_351,25,Walls
Hanson2016_352,4,Walls
Hanson2016_356,9,Inhabited area
Hanson2016_364,10,Inhabited area
Hanson2016_365,38,Inhabited area
Hanson2016_367,6,Walls
Hanson2016_373,116,Walls
Hanson2016_378,114,Urban grid
Hanson2016_379,228,Unspecified
Hanson2016_381,66,Walls
Hanson2016_383,12,Inhabited area
Hanson2016_384,16,Inhabited area
Hanson2016_385,45,Walls
Hanson2016_386,48,Walls
Hanson2016_387,93,Urban grid and walls
Hanson2016_388,16,Walls
Hanson2016_389,39,Walls
Hanson2016_390,18,Walls
Hanson2016_391,9,Walls
Hanson2016_392,59,Walls
Hanson2016_393,40,Inhabited area
Hanson2016_394,52,Walls
Hanson2016_395,37,Walls
Hanson2016_396,20,Walls
Hanson2016_397,9,Walls
Hanson2016_398,41,Fort and extension
Hanson2016_399,160,Walls
Hanson2016_400,28,Inhabited area
Hanson2016_401,15,Walls
Hanson2016_402,42,Walls
Hanson2016_403,5,Walls
Hanson2016_404,46,Walls
Hanson2016_405,58,Walls
Hanson2016_406,18,Inhabited area
Hanson2016_407,18,Walls
Hanson2016_408,90,Walls
Hanson2016_409,82,Walls
Hanson2016_410,28,Walls
Hanson2016_411,115,Urban grid
Hanson2016_412,39,Walls
Hanson2016_421,32,"Walls, excluding fort"
Hanson2016_428,18,Walls
Hanson2016_429,150,Urban grid
Hanson2016_430,60,"Lower town, 1,500 by 400 m"
Hanson2016_432,24,Inhabited area
Hanson2016_435,49,Inhabited area
Hanson2016_441,40,Walls
Hanson2016_444,14,Walls
Hanson2016_446,26,Inhabited area
Hanson2016_447,40,Walls
Hanson2016_453,100,Inhabited area
Hanson2016_457,37,Walls
Hanson2016_458,84,Walls
Hanson2016_459,43,Inhabited area
Hanson2016_460,41,Inhabited area
Hanson2016_461,26,Walls
Hanson2016_468,25,Inhabited area
Hanson2016_469,32,Walls
Hanson2016_473,22,Walls and topography
Hanson2016_474,42,Inhabited area
Hanson2016_476,144,Inhabited area
Hanson2016_478,71,Inhabited area
Hanson2016_479,54,Inhabited area
Hanson2016_480,85,Inhabited area
Hanson2016_481,107,Walls and topography
Hanson2016_482,119,Inhabited area
Hanson2016_484,111,Inhabited area
Hanson2016_486,18,Walls
Hanson2016_487,30,Inhabited area
Hanson2016_488,209,Urban grid
Hanson2016_489,12,Walls
Hanson2016_490,41,Inhabited area
Hanson2016_492,30,Urban grid
Hanson2016_493,89,Walls
Hanson2016_494,13,Inhabited area
Hanson2016_496,38,Inhabited area
Hanson2016_497,22,Inhabited area
Hanson2016_498,72,Inhabited area
Hanson2016_499,72,Walls
Hanson2016_500,32,Urban grid
Hanson2016_501,9,Inhabited area
Hanson2016_504,16,Walls
Hanson2016_505,13,Walls
Hanson2016_509,4,Walls
Hanson2016_511,6,Walls
Hanson2016_525,25,Walls
Hanson2016_529,136,Walls
Hanson2016_530,17,Walls
Hanson2016_532,24,Walls
Hanson2016_538,20,Walls
Hanson2016_547,58,Half of the old town and the new town
Hanson2016_550,29,Walls
Hanson2016_555,9,Walls
Hanson2016_557,7,Walls
Hanson2016_559,75,Urban grid
Hanson2016_560,35,Inhabited area
Hanson2016_561,16,Inhabited area
Hanson2016_564,91,Urban grid
Hanson2016_565,108,Urban grid
Hanson2016_566,99,Urban grid
Hanson2016_567,86,Urban grid
Hanson2016_568,17,Walls
Hanson2016_569,110,Urban grid
Hanson2016_570,80,Urban grid
Hanson2016_571,49,Urban grid
Hanson2016_572,124,Walls
Hanson2016_573,13,Urban grid
Hanson2016_574,38,Urban grid
Hanson2016_576,48,Inhabited area
Hanson2016_577,70,Inhabited area
Hanson2016_578,200,Inhabited area
Hanson2016_580,165,Urban grid
Hanson2016_581,95,Urban grid
Hanson2016_582,50,Inhabited area
Hanson2016_583,37,Urban grid
Hanson2016_584,2,Walls
Hanson2016_585,7,Walls
Hanson2016_587,131,Urban grid and walls
Hanson2016_589,52,Walls
Hanson2016_590,57,Urban grid
Hanson2016_591,25,Urban grid
Hanson2016_592,65,Inhabited area
Hanson2016_593,30,Inhabited area
Hanson2016_595,10,Walls
Hanson2016_596,12,Walls
Hanson2016_597,189,Urban grid
Hanson2016_599,97,Walls
Hanson2016_601,80,Inhabited area
Hanson2016_602,172,"Urban grid, topography, and walls"
Hanson2016_603,15,Walls
Hanson2016_604,48,"Urban grid, 846 by 564 m"
Hanson2016_605,152,Walls
Hanson2016_606,15,Walls
Hanson2016_607,67,Urban grid
Hanson2016_608,53,Urban grid
Hanson2016_609,10,Unspecified
Hanson2016_610,29,"Inhabited area, 27 to 30 ha."
Hanson2016_612,10,Walls
Hanson2016_613,60,Urban grid
Hanson2016_614,140,Inhabited area
Hanson2016_615,74,Urban grid
Hanson2016_616,23,Urban grid
Hanson2016_619,111,Urban grid
Hanson2016_620,170,Colonia and cannabae
Hanson2016_621,45,"Inhabited area, 40 to 50 ha."
Hanson2016_622,64,Inhabited area
Hanson2016_624,28,Urban grid
Hanson2016_625,81,Urban grid
Hanson2016_626,58,Urban grid
Hanson2016_628,13,Urban grid
Hanson2016_629,15,Inhabited area
Hanson2016_631,7,Urban grid
Hanson2016_632,61,Urban grid and walls
Hanson2016_633,65,Urban grid and walls
Hanson2016_634,62,Urban grid
Hanson2016_635,39,Walls
Hanson2016_636,45,Walls
Hanson2016_637,15,Walls
Hanson2016_638,26,Urban grid
Hanson2016_640,6,Walls
Hanson2016_643,10,Walls
Hanson2016_644,23,Walls
Hanson2016_645,49,Urban grid and walls
Hanson2016_646,28,Urban grid
Hanson2016_647,32,Walls
Hanson2016_649,56,Walls
Hanson2016_650,20,Inhabited area
Hanson2016_651,180,Urban grid
Hanson2016_652,175,"Urban grid, walls, and topography"
Hanson2016_653,5,Walls
Hanson2016_654,91,Walls
Hanson2016_655,21,Walls
Hanson2016_656,30,Inhabited area
Hanson2016_657,36,Inhabited area
Hanson2016_658,83,Walls and topography (excluding Mont Salomon and Arnaud)
Hanson2016_659,126,Walls
Hanson2016_660,75,Walls
Hanson2016_661,80,Urban grid and walls
Hanson2016_663,35,Inhabited area
Hanson2016_664,40,Inhabited area
Hanson2016_666,30,Inhabited area
Hanson2016_667,55,Inhabited area
Hanson2016_668,43,Urban grid
Hanson2016_669,36,Urban grid and topography
Hanson2016_670,41,Urban grid
Hanson2016_671,42,Walls
Hanson2016_673,101,Walls
Hanson2016_674,6,Urban grid
Hanson2016_676,20,Urban grid
Hanson2016_677,36,Walls
Hanson2016_678,25,Inhabited area
Hanson2016_679,82,Urban grid
Hanson2016_682,4,Walls
Hanson2016_683,5,Walls
Hanson2016_684,26,Walls
Hanson2016_686,12,Urban grid
Hanson2016_687,12,Walls
Hanson2016_688,29,Walls
Hanson2016_690,29,Urban grid
Hanson2016_691,47,Walls
Hanson2016_692,16,Walls
Hanson2016_693,58,Inhabited area
Hanson2016_694,40,Walls
Hanson2016_695,6,Walls
Hanson2016_696,70,Walls
Hanson2016_700,24,"Palaepolis, Neapolis, and the Roman settlement"
Hanson2016_701,19,Walls
Hanson2016_703,5,Walls
Hanson2016_705,13,Inhabited area
Hanson2016_706,20,Walls
Hanson2016_708,9,Walls
Hanson2016_711,10,Inhabited area
Hanson2016_713,2,Walls
Hanson2016_714,41,Walls
Hanson2016_717,24,Inhabited area
Hanson2016_718,17,Walls
Hanson2016_720,6,Walls
Hanson2016_721,12,Walls
Hanson2016_722,15,Walls
Hanson2016_724,10,Walls
Hanson2016_725,27,Walls
Hanson2016_727,15,Walls
Hanson2016_728,11,Walls
Hanson2016_730,12,Walls
Hanson2016_731,70,Walls
Hanson2016_732,19,Walls
Hanson2016_733,5,Walls
Hanson2016_735,26,Walls
Hanson2016_736,37,Walls
Hanson2016_737,10,Walls
Hanson2016_738,14,Walls
Hanson2016_739,28,Walls
Hanson2016_740,25,Walls
Hanson2016_741,17,Urban grid
Hanson2016_742,23,Walls
Hanson2016_743,22,Walls
Hanson2016_744,20,Walls
Hanson2016_745,60,Inhabited area
Hanson2016_747,71,Walls
Hanson2016_748,45,Unspecified
Hanson2016_749,22,Walls
Hanson2016_750,6,Inhabited area
Hanson2016_751,50,Inhabited area
Hanson2016_752,35,Inhabited area
Hanson2016_755,14,Walls
Hanson2016_756,13,Urban grid and walls
Hanson2016_757,64,Walls
Hanson2016_758,184,Urban grid
Hanson2016_760,10,Inhabited area
Hanson2016_764,2,Walls
Hanson2016_765,30,"Inhabited area, 600 by 500 m"
Hanson2016_766,15,Inhabited area
Hanson2016_767,10,Unspecified
Hanson2016_768,80,"Walls, but not acropolis"
Hanson2016_769,28,"Inhabited area, walls, and topography"
Hanson2016_770,10,Urban grid
Hanson2016_771,20,Inhabited area
Hanson2016_774,14,Urban grid and walls
Hanson2016_775,15,Unspecified
Hanson2016_776,20,Unspecified
Hanson2016_777,27,Inhabited area
Hanson2016_780,29,Walls
Hanson2016_781,13,"Unspecified, 12 to 14 ha."
Hanson2016_782,33,Urban grid and walls
Hanson2016_783,14,Inhabited area
Hanson2016_784,82,Urban grid and walls
Hanson2016_785,51,"Urban grid, walls, and morphology"
Hanson2016_786,38,Walls
Hanson2016_787,114,Walls
Hanson2016_788,154,Inhabited area
Hanson2016_789,85,Unspecified
Hanson2016_790,60,Urban grid and walls
Hanson2016_792,44,Urban grid and walls
Hanson2016_793,10,Walls
Hanson2016_794,120,"Inhabited area, 100 to 120 ha."
Hanson2016_795,27,Walls
Hanson2016_797,14,Walls (Late Republican)
Hanson2016_798,17,Inhabited area
Hanson2016_799,31,"Urban grid, walls, and topography"
Hanson2016_800,71,Walls
Hanson2016_801,35,Urban grid and walls
Hanson2016_802,41,Inhabited area
Hanson2016_803,22,Inhabited area
Hanson2016_804,40,Inhabited area
Hanson2016_805,90,Unspecified
Hanson2016_806,20,Urban grid and walls
Hanson2016_808,15,Inhabited area
Hanson2016_809,19,Walls
Hanson2016_811,32,Inhabited area
Hanson2016_812,27,Urban grid
Hanson2016_813,4,Inhabited area
Hanson2016_817,20,Walls
Hanson2016_819,15,Unspecified
Hanson2016_821,47,"Walls (Lombard, but roughly comparable to Roman walls)"
Hanson2016_822,62,"Unspecified, 56 to 62 ha."
Hanson2016_826,20,"Inhabited area, 400 by 500 m"
Hanson2016_828,20,Inhabited area
Hanson2016_829,20,Inhabited area
Hanson2016_831,19,Urban grid and walls
Hanson2016_833,75,Urban grid
Hanson2016_834,20,Inhabited area
Hanson2016_837,13,Walls
Hanson2016_838,22,Unspecified
Hanson2016_839,61,Walls
Hanson2016_841,17,Walls
Hanson2016_842,138,Urban grid
Hanson2016_843,50,Inhabited area
Hanson2016_845,44,Urban grid and topography
Hanson2016_847,10,Walls
Hanson2016_850,32,Walls
Hanson2016_851,10,Walls
Hanson2016_852,10,Inhabited area
Hanson2016_853,50,Inhabited area
Hanson2016_856,33,Walls
Hanson2016_857,15,Acropolis
Hanson2016_858,78,Urban grid and inner walls
Hanson2016_859,14,Unspecified
Hanson2016_861,126,Urban grid and walls
Hanson2016_863,8,Unspecified
Hanson2016_864,67,Topography and walls
Hanson2016_865,25,"Unspecified, 20 to 30 ha."
Hanson2016_869,23,Urban grid
Hanson2016_870,30,Inhabited area
Hanson2016_871,6,Walls
Hanson2016_873,15,Walls
Hanson2016_874,33,Urban grid and walls
Hanson2016_875,65,"Inhabited area, 60 to 70 ha."
Hanson2016_876,15,Walls and topography
Hanson2016_877,4,Inhabited area
Hanson2016_878,6,Inhabited area
Hanson2016_880,16,Inhabited area
Hanson2016_881,15,Inhabited area
Hanson2016_883,5,Walls
Hanson2016_884,11,Walls
Hanson2016_885,6,Unspecified
Hanson2016_886,1,Unspecified
Hanson2016_887,2,Inhabited area
Hanson2016_888,12,Inhabited area
Hanson2016_889,6,Urban grid
Hanson2016_891,34,Inhabited area
Hanson2016_892,25,Inhabited area
Hanson2016_894,26,Walls
Hanson2016_895,18,Unspecified
Hanson2016_896,8,Walls
Hanson2016_897,12,Urban grid and walls
Hanson2016_898,15,Urban grid
Hanson2016_899,39,Walls
Hanson2016_900,20,Unspecified
Hanson2016_901,11,Urban grid
Hanson2016_902,45,Inhabited area
Hanson2016_905,40,Inhabited area
Hanson2016_906,39,Urban grid
Hanson2016_907,24,Urban grid and topography
Hanson2016_908,13,Walls
Hanson2016_909,12,Walls
Hanson2016_911,16,Unspecified
Hanson2016_912,16,Walls
Hanson2016_913,22,Inhabited area
Hanson2016_914,23,Walls
Hanson2016_915,16,Inhabited area
Hanson2016_916,14,Unspecified
Hanson2016_917,25,Urban grid and walls
Hanson2016_918,19,Urban grid
Hanson2016_920,9,Walls
Hanson2016_921,37,Urban grid and walls
Hanson2016_922,10,Urban grid
Hanson2016_923,25,Walls
Hanson2016_924,31,Walls
Hanson2016_925,20,Unspecified
Hanson2016_926,15,Unspecified
Hanson2016_927,10,Walls
Hanson2016_928,30,Inhabited area
Hanson2016_929,24,Urban grid and walls
Hanson2016_930,25,Walls
Hanson2016_931,37,Urban grid
Hanson2016_932,13,Walls
Hanson2016_933,74,Inhabited area
Hanson2016_934,48,Urban grid and walls
Hanson2016_935,8,Walls
Hanson2016_936,14,Walls
Hanson2016_937,2,Unspecified
Hanson2016_938,11,Walls
Hanson2016_940,31,Walls
Hanson2016_941,25,Inhabited area
Hanson2016_943,17,Urban grid
Hanson2016_944,15,Walls
Hanson2016_946,35,Unspecified
Hanson2016_947,10,Walls
Hanson2016_948,7,Urban grid
Hanson2016_949,16,Walls
Hanson2016_950,14,Walls
Hanson2016_952,23,Inhabited area
Hanson2016_953,21,Unspecified
Hanson2016_954,10,Unspecified
Hanson2016_955,18,Walls
Hanson2016_956,40,Unspecified
Hanson2016_957,4,Walls
Hanson2016_958,12,Inhabited area
Hanson2016_959,5,Walls
Hanson2016_962,55,Inhabited area
Hanson2016_963,1,Inhabited area
Hanson2016_964,18,Inhabited area
Hanson2016_965,120,Walls
Hanson2016_966,6,Inhabited area
Hanson2016_967,12,Unspecified
Hanson2016_968,18,Urban grid
Hanson2016_969,26,Walls
Hanson2016_970,45,Walls
Hanson2016_971,14,Urban grid and walls
Hanson2016_972,31,Walls
Hanson2016_973,31,Urban grid and walls
Hanson2016_974,31,Urban grid
Hanson2016_975,45,Inhabited area
Hanson2016_976,22,Urban grid and walls
Hanson2016_977,5,Known area
Hanson2016_979,27,Inhabited area
Hanson2016_980,14,Unspecified
Hanson2016_981,8,Inhabited area
Hanson2016_982,48,Urban grid and walls
Hanson2016_983,25,Unspecified
Hanson2016_984,23,Urban grid and walls
Hanson2016_985,12,Walls
Hanson2016_986,35,"Unspecified, 30 to 35 ha."
Hanson2016_987,30,Walls
Hanson2016_988,9,Walls
Hanson2016_990,15,Inhabited area
Hanson2016_991,5,Urban grid and walls
Hanson2016_992,1783,Fourteen Augustan regions
Hanson2016_993,20,Inhabited area
Hanson2016_994,4,Unspecified
Hanson2016_995,24,Walls
Hanson2016_996,10,Unspecified
Hanson2016_997,18,Unspecified
Hanson2016_998,7,Walls
Hanson2016_999,124,Walls
Hanson2016_1000,30,Unspecified
Hanson2016_1001,8,Unspecified
Hanson2016_1002,25,Inhabited area
Hanson2016_1003,25,Walls
Hanson2016_1005,30,Inhabited area
Hanson2016_1006,35,Inhabited area
Hanson2016_1007,89,Walls
Hanson2016_1008,40,Urban grid and walls
Hanson2016_1009,39,Urban grid
Hanson2016_1010,13,Urban grid
Hanson2016_1011,21,Inhabited area marked on plan
Hanson2016_1012,23,Inhabited area marked on plan
Hanson2016_1013,57,Urban grid and topography
Hanson2016_1014,38,Inhabited area
Hanson2016_1015,6,Urban grid
Hanson2016_1016,43,Urban grid
Hanson2016_1017,39,Inhabited area marked on plan
Hanson2016_1018,5,Urban grid
Hanson2016_1019,54,Urban grid and area marked as that which was probably inhabited
Hanson2016_1020,21,Urban grid
Hanson2016_1021,43,Urban grid
Hanson2016_1022,113,Walls
Hanson2016_1023,43,Inhabited area
Hanson2016_1025,10,Inhabited area
Hanson2016_1026,35,Urban grid and walls
Hanson2016_1027,8,Walls
Hanson2016_1028,24,Urban grid
Hanson2016_1029,29,Urban grid
Hanson2016_1030,16,Urban grid
Hanson2016_1031,15,Inhabited area
Hanson2016_1032,38,Urban grid
Hanson2016_1033,20,Inhabited area
Hanson2016_1034,38,Urban grid
Hanson2016_1035,25,Inhabited area
Hanson2016_1037,20,Urban grid
Hanson2016_1040,15,Inhabited area
Hanson2016_1041,10,Walls
Hanson2016_1044,133,Inhabited area
Hanson2016_1045,80,Walls of Julian the Apostate
Hanson2016_1046,50,Inhabited area
Hanson2016_1047,13,Inhabited area
Hanson2016_1048,35,Urban grid
Hanson2016_1049,42,Urban grid and walls
Hanson2016_1050,23,"Walls and urban grid, 523 by 425 m"
Hanson2016_1051,21,Inhabited area
Hanson2016_1053,12,Walls
Hanson2016_1055,8,Inhabited area
Hanson2016_1056,8,Walls
Hanson2016_1057,37,Inhabited area
Hanson2016_1058,9,Urban grid and walls
Hanson2016_1059,130,Inhabited area
Hanson2016_1060,24,Walls
Hanson2016_1061,30,Inhabited area
Hanson2016_1062,15,Walls
Hanson2016_1063,11,Urban grid and walls
Hanson2016_1065,52,"Urban grid, walls, and topography"
Hanson2016_1066,28,Urban grid
Hanson2016_1067,19,Inhabited area (Angelini)
Hanson2016_1068,25,Urban grid and walls
Hanson2016_1069,68,"Inhabited area, 65 to 70 ha."
Hanson2016_1070,10,Inhabited area
Hanson2016_1071,20,Inhabited area
Hanson2016_1072,105,Walls
Hanson2016_1073,32,Urban grid and walls
Hanson2016_1074,44,Urban grid and walls
Hanson2016_1075,38,Inhabited area
Hanson2016_1077,81,Walls
Hanson2016_1080,16,Walls
Hanson2016_1081,23,Walls (Roman)
Hanson2016_1082,12,Walls
Hanson2016_1083,6,Walls
Hanson2016_1089,48,Walls
Hanson2016_1090,30,Walls
Hanson2016_1091,27,Walls
Hanson2016_1092,10,Walls
Hanson2016_1093,45,Unspecified
Hanson2016_1094,30,Walls
Hanson2016_1095,2,Walls
Hanson2016_1097,6,Walls
Hanson2016_1100,11,Walls
Hanson2016_1101,7,Inhabited area
Hanson2016_1102,24,Walls and topography
Hanson2016_1107,13,Walls
Hanson2016_1108,2,Acropolis
Hanson2016_1113,38,Walls
Hanson2016_1114,5,Walls
Hanson2016_1117,12,Acropolis and lower town
Hanson2016_1119,5,Walls
Hanson2016_1120,101,Urban grid
Hanson2016_1122,17,Walls
Hanson2016_1127,23,Walls
Hanson2016_1128,63,Acropolis and urban grid
Hanson2016_1129,40,Walls and topography
Hanson2016_1130,8,Inhabited area
Hanson2016_1131,22,Inhabited area
Hanson2016_1133,20,Inhabited area
Hanson2016_1135,59,Inhabited area
Hanson2016_1136,38,Walls (Hellenistic)
Hanson2016_1138,13,Walls
Hanson2016_1139,4,"Urban grid, walls, and topography"
Hanson2016_1140,61,Inhabited area
Hanson2016_1142,30,Walls
Hanson2016_1143,16,Inhabited area
Hanson2016_1145,25,Walls
Hanson2016_1146,20,Walls
Hanson2016_1147,246,Walls (Classical)
Hanson2016_1149,78,Walls
Hanson2016_1150,28,Walls
Hanson2016_1152,35,Walls
Hanson2016_1153,95,Unspecified
Hanson2016_1154,162,Walls
Hanson2016_1155,7,Walls
Hanson2016_1156,11,Urban grid
Hanson2016_1157,13,Walls
Hanson2016_1158,100,"Urban grid, 1,000 by 1,000"
Hanson2016_1159,51,Walls
Hanson2016_1160,20,Walls
Hanson2016_1161,30,Walls and topography
Hanson2016_1162,161,Urban grid and walls (Late Roman)
Hanson2016_1163,58,Walls
Hanson2016_1167,20,Walls
Hanson2016_1169,65,Unspecified
Hanson2016_1170,13,Walls
Hanson2016_1171,9,Inhabited area
Hanson2016_1173,29,Inhabited area
Hanson2016_1176,162,Inhabited area
Hanson2016_1177,10,Walls
Hanson2016_1184,12,Walls
Hanson2016_1186,20,Walls
Hanson2016_1189,55,Inhabited area
Hanson2016_1191,44,Walls (Late Roman)
Hanson2016_1193,57,Walls
Hanson2016_1194,39,Inhabited area
Hanson2016_1198,19,Walls
Hanson2016_1201,16,Walls
Hanson2016_1202,19,Walls
Hanson2016_1203,43,Walls
Hanson2016_1205,9,Walls
Hanson2016_1207,16,Urban grid
Hanson2016_1210,27,Walls
Hanson2016_1211,1,Inhabited area
Hanson2016_1212,39,Walls
Hanson2016_1213,32,Walls
Hanson2016_1214,42,Inhabited area
Hanson2016_1215,2,"Walls, 150 by 100 m"
Hanson2016_1216,10,Walls
Hanson2016_1217,30,Inhabited area
Hanson2016_1218,59,Walls
Hanson2016_1219,62,Inhabited area
Hanson2016_1222,33,"Inhabited area, 30 to 35 ha."
Hanson2016_1223,5,Walls
Hanson2016_1224,28,Walls and topography
Hanson2016_1225,28,Inhabited area
Hanson2016_1226,34,Walls
Hanson2016_1227,57,Vicus
Hanson2016_1228,19,Inhabited area
Hanson2016_1231,17,Inhabited area
Hanson2016_1234,83,Walls
Hanson2016_1236,8,Inhabited area
Hanson2016_1237,47,Urban grid
Hanson2016_1239,69,Inhabited area
Hanson2016_1241,41,Walls
Hanson2016_1242,22,Walls
Hanson2016_1244,37,Topography
Hanson2016_1246,60,Inhabited area
Hanson2016_1247,73,"Unspecified, 30 to 115 ha."
Hanson2016_1248,21,Inhabited area
Hanson2016_1250,20,Inhabited area
Hanson2016_1252,2,Walls
Hanson2016_1253,114,Walls
Hanson2016_1254,130,Unspecified
Hanson2016_1255,40,Unspecified
Hanson2016_1258,50,Inhabited area
