city,oxrep_primary_key,oxrep_province,our_province,is_provincial_capital,source
Caesarea Maritima,Hanson2016_1355,Syria Palestina,Palaestina,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Cambodunum,Hanson2016_1290,Raetia,Raetia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Camulodunum,Hanson2016_386,Britannia,Britannia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Capua,Hanson2016_758,Italia (I Latium and Campania),Latium et Campania / Regio I,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Caralis,Hanson2016_465,Corsica et Sardinia,Sardinia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Carnuntum (2),Hanson2016_1278,Pannonia Superior,Pannonia superior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Carthago,Hanson2016_172,Africa Proconsularis,Africa proconsularis,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Cemelenum,Hanson2016_227,Alpes Maritimae,Alpes Maritimae,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Cirta,Hanson2016_1244,Numidia,Numidia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Colonia Agrippinensis,Hanson2016_660,Germania Inferior,Germania inferior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Corduba,Hanson2016_336,Baetica,Baetica,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Corinthia,Hanson2016_26,Achaea,Achaia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Durocortorum,Hanson2016_590,Gallia Belgica,Belgica,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Eburacum,Hanson2016_393,Britannia,Britannia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Ephesus,Hanson2016_276,Asia,Asia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Forum Claudii,Hanson2016_226,Alpes Graiae et Poeninae,Alpes Poeninae,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Gortyna,Hanson2016_482,Creta et Cyrenaica,Creta et Cyrenaica,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Heraclea (Thracia),Hanson2016_1381,Thracia,Thracia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Iol,Hanson2016_1176,Mauretania Caesariensis,Mauretania Caesariensis,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Lambaesis,Hanson2016_1247,Numidia,Numidia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Laodicea (Syria),Hanson2016_1338,Syria,Syria,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Londinium,Hanson2016_399,Britannia,Britannia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Lugdunum,Hanson2016_620,Gallia Lugdunensis,Lugudunensis,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Mazaca,Hanson2016_420,Cappadocia et Galatia,Cappadocia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Mogontiacum,Hanson2016_673,Germania Superior,Germania superior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Napoca,Hanson2016_496,Dacia,Dacia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Narbo Martius,Hanson2016_651,Gallia Narbonensis,Gallia Narbonensis,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Neapaphus,Hanson2016_453,Cilicia et Cyprus,Cyprus,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Nemausus,Hanson2016_652,Gallia Narbonensis,Gallia Narbonensis,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Nicopolis (Achaea),Hanson2016_65,Achaea,Achaia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Patara,Hanson2016_1126,Lycia et Pamphylia,Lycia et Pamphylia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Petra,Hanson2016_240,Arabia,Arabia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Philippopolis (Thracia),Hanson2016_1385,Thracia,Thracia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Poetovio,Hanson2016_1235,Noricum,Pannonia superior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Porolissum,Hanson2016_497,Dacia,Dacia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Romula,Hanson2016_499,Dacia,Dacia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Salona,Hanson2016_547,Dalmatia,Dalmatia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Sardis,Hanson2016_312,Asia,Asia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Sarmizegetusa,Hanson2016_500,Dacia,Dacia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Savaria,Hanson2016_1282,Pannonia Superior,Pannonia superior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Segusio,Hanson2016_224,Alpes Cottiae,Alpes Cottiae,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Syracusae,Hanson2016_1320,Silicia,Sicilia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Tarraco,Hanson2016_731,Hispania Tarraconensis,Hispania citerior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Tarsus,Hanson2016_463,Cilicia et Cyprus,Cilicia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Thessalonica,Hanson2016_1162,Macedonia,Macedonia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Tingis,Hanson2016_1202,Mauretania Tingitana,Mauretania Tingitana,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Tomis,Hanson2016_1214,Moesia Inferior,Moesia inferior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Tyrus,Hanson2016_1347,Syria,Syria,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Utica,Hanson2016_217,Africa Proconsularis,Africa proconsularis,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Viminacium (1),Hanson2016_1227,Moesia Superior,Moesia superior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Virunum,Hanson2016_1237,Noricum,Noricum,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Volubilis,Hanson2016_1203,Mauretania Tingitana,Mauretania Tingitana,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
